DATE_TIME;ROOT_DISK_SIZE_VALUE;ROOT_DISK_USED_VALUE;ROOT_DISK_FREE
27-04-24 11:39;51123825;17652180;33471645
27-04-24 11:44;51123825;17652181;33471644
27-04-24 11:49;51123825;17652176;33471649
27-04-24 11:54;51123825;17652184;33471641
27-04-24 11:59;51123825;17652184;33471641
27-04-24 12:04;51123825;17652186;33471639
27-04-24 12:09;51123825;17592088;33531737
27-04-24 12:14;51123825;17657612;33466213
27-04-24 12:19;51123825;17593318;33530507
27-04-24 12:24;51123825;17658847;33464978
27-04-24 12:29;51123825;17594504;33529321
27-04-24 12:34;51123825;17660032;33463793
27-04-24 12:39;51123825;17595653;33528172
27-04-24 12:44;51123825;17661185;33462640
27-04-24 12:49;51123825;17596861;33526964
27-04-24 12:54;51123825;17662388;33461437
27-04-24 12:59;51123825;17662388;33461437
27-04-24 13:04;51123825;17662431;33461394
27-04-24 13:09;51123825;17662390;33461435
27-04-24 13:14;51123825;17662391;33461434
27-04-24 13:19;51123825;17662397;33461428
27-04-24 13:24;51123825;17662394;33461431
27-04-24 13:29;51123825;17662394;33461431
27-04-24 13:34;51123825;17662396;33461429
27-04-24 13:39;51123825;17662396;33461429
27-04-24 13:44;51123825;17662397;33461428
27-04-24 13:49;51123825;17662397;33461428
27-04-24 13:54;51123825;17662398;33461427
27-04-24 13:59;51123825;17662398;33461427
27-04-24 14:04;51123825;17662401;33461424
27-04-24 14:09;51123825;17662401;33461424
27-04-24 14:14;51123825;17662411;33461414
27-04-24 14:19;51123825;17662403;33461422
27-04-24 14:24;51123825;17662404;33461421
27-04-24 14:29;51123825;17662404;33461421
27-04-24 14:34;51123825;17662406;33461419
27-04-24 14:39;51123825;17662406;33461419
27-04-24 14:44;51123825;17662408;33461417
27-04-24 14:49;51123825;17662408;33461417
27-04-24 14:54;51123825;17662454;33461371
27-04-24 14:59;51123825;17662409;33461416
27-04-24 15:04;51123825;17662413;33461412
27-04-24 15:09;51123825;17662413;33461412
27-04-24 15:14;51123825;17662414;33461411
27-04-24 15:19;51123825;17662414;33461411
27-04-24 15:24;51123825;17662415;33461410
27-04-24 15:29;51123825;17662415;33461410
27-04-24 15:34;51123825;17662418;33461407
27-04-24 15:39;51123825;17662418;33461407
27-04-24 15:44;51123825;17662419;33461406
27-04-24 15:49;51123825;17662419;33461406
27-04-24 15:54;51123825;17662421;33461404
27-04-24 15:59;51123825;17662421;33461404
27-04-24 16:04;51123825;17662422;33461403
27-04-24 16:09;51123825;17662422;33461403
27-04-24 16:14;51123825;17662477;33461348
27-04-24 16:19;51123825;17662425;33461400
27-04-24 16:24;51123825;17662431;33461394
27-04-24 16:29;51123825;17662426;33461399
27-04-24 16:34;51123825;17662427;33461398
27-04-24 16:39;51123825;17662427;33461398
27-04-24 16:44;51123825;17662430;33461395
27-04-24 16:49;51123825;17662430;33461395
27-04-24 16:54;51123825;17662431;33461394
27-04-24 16:59;51123825;17662431;33461394
27-04-24 17:04;51123825;17662433;33461392
27-04-24 17:09;51123825;17662433;33461392
27-04-24 17:14;51123825;17662435;33461390
27-04-24 17:19;51123825;17662435;33461390
27-04-24 17:24;51123825;17662438;33461387
27-04-24 17:29;51123825;17662438;33461387
27-04-24 17:34;51123825;17662439;33461386
27-04-24 17:39;51123825;17662439;33461386
27-04-24 17:44;51123825;17662441;33461384
27-04-24 17:49;51123825;17662441;33461384
27-04-24 17:54;51123825;17662443;33461382
27-04-24 17:59;51123825;17662443;33461382
27-04-24 18:04;51123825;17662444;33461381
27-04-24 18:09;51123825;17662444;33461381
27-04-24 18:14;51123825;17662446;33461379
27-04-24 18:19;51123825;17662446;33461379
27-04-24 18:24;51123825;17662448;33461377
27-04-24 18:29;51123825;17662448;33461377
27-04-24 18:34;51123825;17662450;33461375
27-04-24 18:39;51123825;17662450;33461375
27-04-24 18:44;51123825;17662451;33461374
27-04-24 18:49;51123825;17662451;33461374
